exp_name,sample_dir,inference_type,ckpt_step,fid50k,num_steps,steps_per_pass,sampler,hidden_schedule_max_t,hidden_sphere_clamp,encode_linear_start_t,encode_fixed_start_t,encode_reground_t_fix,reground_fixed_enc_noise,reground_fixed_cond_noise,reground_shared_noise,recycle_t_fix,model_type,use_hidden_tokens,num_hidden_tokens,share_timestep_embedder,share_patch_embedder,use_per_token_encoding,hidden_weight,hidden_cos_weight,hidden_reg_weight,hidden_same_t_as_img,normalize_hidden,noisy_img_encode,hidden_grad_dyn_scale,hidden_grad_static_scale,hidden_t_shift_init,hidden_t_shift_final,hidden_t_shift_warmup,hidden_loss_warmup_start,hidden_loss_warmup_end,use_encode_mode_emb,hidden_guidance_scale,use_repa,repa_weight,repa_mode,semantic_weight,train_max_steps,weight_init,config,timestamp,cfg_scale,hidden_rep_guidance
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsched_linear-hsphereclamp,linear,40000,2.2965853676407164,100,,euler,,True,,,,False,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-06T23:39:14,,
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.88,encodereground,40000,2.307151893237517,100,,euler,,True,,,0.88,False,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T07:16:39,,
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.88-fixenc,encodereground,40000,2.3138751323415363,100,,euler,,True,,,0.88,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-08T01:47:36,,
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_1p0b_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.90-fixenc,encodereground,60000,2.3226284284791063,100,,euler,,True,,,0.9,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-08T18:31:32,1.0,1.0
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.90,encodereground,40000,2.349094633506695,100,,euler,,True,,,0.9,False,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T07:02:45,,
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.90-fixenc,encodereground,40000,2.364724546112484,100,,euler,,True,,,0.9,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-08T01:50:18,,
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.92,encodereground,40000,2.3865608237864535,100,,euler,,True,,,0.92,False,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T06:59:00,,
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.92-fixenc,encodereground,40000,2.3941957194492147,100,,euler,,True,,,0.92,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-08T02:19:43,,
1p0_finetune_no_hidden_0040000,lightningdit-1p0b-1-ckpt-0040000-euler-100-interval0.00-cfg1.50-shift0.00-balanced,standard,40000,2.4141902107556916,100,,euler,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/finetune_no_hidden.yaml,2026-04-08T08:26:39,1.5,1.0
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0040000,hiddenlightningdit_1p0b_h8-ckpt-0040000-euler-100-balanced-hsphereclamp-encreground0.95,encodereground,40000,2.443709555056273,100,,euler,,True,,,0.95,False,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T07:00:08,,
